Date,Type,Exchange,Base amount,Base currency,Quote amount,Quote currency,Fee,Fee currency,Costs/Proceeds,Costs/Proceeds currency,Sync Holdings,Sent/Received from,Sent to,Notes
Wed Nov 24 11:37:13 CET 2021,out,Uphold,,,,,,,,,,,,
Tue Nov 23 09:34:00 CET 2021,transfer,Uphold,,,,,,,,,,,,
Wed Nov 10 04:23:53 CET 2021,in,Uphold,,,,,,,,,,,,
Mon Nov 08 16:32:02 CET 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 02:18:30 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:23 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:19 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:16 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:16 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:16 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:15 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:15 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:15 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:15 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:15 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:14 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:14 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:14 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:14 CEST 2021,in,Uphold,,,,,,,,,,,,
Sat Oct 30 01:28:14 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:30:23 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:50 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:49 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:47 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:47 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:47 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:47 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:47 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:46 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:46 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:46 CEST 2021,in,Uphold,,,,,,,,,,,,
Mon Oct 25 20:25:46 CEST 2021,in,Uphold,,,,,,,,,,,,
Sun Oct 17 11:25:01 CEST 2021,transfer,Uphold,,,,,,,,,,,,
